area_type,availability,location,size,society,total_sqft,bath,balcony,price,bath_balcony_ratio,property_type
Plot  Area,Ready To Move,Banjara Layout,5 Bedroom,Elodsre,1200,5,2,96,2.5,Plot
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Elodsre,1156,2,2,42,1,Flat++
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1230,2,2,44,1,Flat++
Super built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,1070,2,2,33.15,1,Flat++
Plot  Area,Immediate Possession,Devanahalli,,Emngs S,2100 - 5405,2,1,177.115,2,Plot
Super built-up  Area,18-Aug,Ramagondanahalli,2 BHK,ViistLa,1235,2,1,49.3,2,Flat++
Built-up  Area,Ready To Move,6th block Koramangala,2 BHK,Krone S,1117,2,1,110,2,Flat+
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3,2,124,1.5,Flat++
Plot  Area,Ready To Move,Jalahalli,4 Bedroom,Raiyai ,1200,4,0,90,inf,Plot
Super built-up  Area,Ready To Move,Venkatadri Layout,1 BHK,Raiyai ,600,1,1,43,1,Flat++
Super built-up  Area,Ready To Move,KR Puram,3 BHK,DSise S,1930,2,2,57.9,1,Flat++
Super built-up  Area,18-Dec,Whitefield,2 BHK,Prtates,1216,2,1,75,2,Flat++
Built-up  Area,Ready To Move,KR Puram,3 BHK,ViionMa,1452,3,3,60,1,Flat+
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veale R,1355,2,3,78,0.67,Flat++
Built-up  Area,Ready To Move,HMT Layout,4 Bedroom,Adeatlm,7500,4,3,425,1.33,Flat+
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2145,3,3,190,1,Flat++
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Varlsa ,957,2,1,53,2,Flat++
Built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,925,2,2,48,1,Flat+
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Grntsd ,1550,2,3,59,0.67,Flat++
Plot  Area,Ready To Move,Yelahanka New Town,4 Bedroom,PrarePa,4000,2,1,899,2,Plot
Plot  Area,20-Jul,Kanakpura Road,3 Bedroom,PrarePa,2100,3,2,140,1.5,Plot
Super built-up  Area,21-Dec,Bannerghatta Road,2 BHK,PrarePa,1115,2,1,61,2,Flat++
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1692,3,2,83,1.5,Flat++
Super built-up  Area,Ready To Move,Baba Nagar,2 BHK,ARureig,1100,2,2,52,1,Flat++
Super built-up  Area,Ready To Move,Hormavu,3 BHK,ARureig,1385,2,2,69,1,Flat++
Super built-up  Area,Ready To Move,Hosa Road,1 BHK,Amelllu,760,1,1,24.9,1,Flat++
Super built-up  Area,19-Dec,Electronics City Phase 1,2 BHK,Shitt S,1335,2,2,67,1,Flat++
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Kut 3or,910,2,1,45,2,Flat++
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,MGBay T,1610,2,2,55,1,Flat++
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1341,2,1,75.76,2,Flat++
Plot  Area,Ready To Move,Kurubarahalli,3 Bedroom,SLnssPr,1200,3,0,70,inf,Plot
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1285,2,2,44.98,1,Flat++
Super built-up  Area,Ready To Move,HAL 2nd Stage,3 BHK,IBityin,2100,3,2,252,1.5,Flat++
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1679,3,2,92.13,1.5,Flat++
Built-up  Area,Ready To Move,Puttappa Layout,4 Bedroom,PhestOn,2675,4,2,290,2,Flat+
Built-up  Area,Ready To Move,"Ananthanagar Phase 1,Electronic City , phase 2",2 BHK,PhestOn,1016,2,1,45.9,2,Flat+
Built-up  Area,Ready To Move,Banashankari Stage II,4 Bedroom,PhestOn,1500,2,0,650,inf,Flat+
Plot  Area,Ready To Move,Palace Guttahalli,3 Bedroom,PhestOn,660,2,1,100,2,Plot
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2448,3,2,400,1.5,Flat++
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Maian M,924,2,2,35.11,1,Flat++
Super built-up  Area,18-Jul,8th Phase JP Nagar,1 BHK,Maian M,500,1,1,31,1,Flat++
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,Vixirri,1800,3,2,88,1.5,Flat++
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Vixirri,1255,2,3,77,0.67,Flat++
Super built-up  Area,18-Dec,Hennur Road,2 BHK,Inaxyga,1040,2,2,50,1,Flat++
Super built-up  Area,Ready To Move,Kattigenahalli,2 BHK,Vehida ,1062,2,2,47,1,Flat++
Super built-up  Area,19-Dec,Varthur Road,2 BHK,Aseenh ,770 - 841,2,0,19.33,inf,Flat++
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Nimesch,950,2,1,60,2,Flat++
Super built-up  Area,18-May,Whitefield,2 BHK,Prtates,1216,2,1,73,2,Flat++
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,AdadeEs,1300,2,2,98,1,Flat++
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Goues A,1390,2,2,65,1,Flat++
Super built-up  Area,19-Jul,Yelahanka,2 BHK,Goues A,1033,2,1,52.58,2,Flat++
Super built-up  Area,19-Dec,Yelahanka,2 BHK,Goues A,1390,2,2,65.31,1,Flat++
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Oreldhi,1020,2,1,52,2,Flat++
Super built-up  Area,19-Dec,Whitefield,1 BHK,Oreldhi,524 - 894,1,0,34.735,inf,Flat++
Super built-up  Area,18-Oct,Whitefield,2 BHK,ARipsul,1140,2,2,45,1,Flat++
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,670,1,1,36.85,1,Flat++
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,Rosha I,2171,4,2,111,2,Flat++
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Gundaa ,1136,2,1,48,2,Flat++
Built-up  Area,Ready To Move,Doddakannelli,3 BHK,Sueesti,1477,2,2,80,1,Flat+
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Goues A,1001,2,2,30,1,Flat++
Super built-up  Area,19-Dec,Yelahanka,2 BHK,Goues A,1040,2,1,48.86,2,Flat++
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,ETntsce,1060,2,1,48.5,2,Flat++
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,ETntsce,1240,2,1,44.3,2,Flat++
Super built-up  Area,Ready To Move,Byadarahalli,4 BHK,ETntsce,3500,5,3,450,1.67,Flat++
Super built-up  Area,Ready To Move,Doddabommasandra,9 BHK,Myple M,42000,8,3,175,2.67,Flat++
Super built-up  Area,20-Dec,Varthur,2 BHK,Myple M,1070,2,2,46,1,Flat++
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,SJmesst,1253,2,1,65.8,2,Flat+
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Srmesun,1190,2,2,60,1,Flat++
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sparam ,1312,2,2,55,1,Flat++
Built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,750,2,0,40,inf,Flat+
Built-up  Area,Ready To Move,Koramangala,3 BHK,KHage G,1615,3,2,115,1.5,Flat+
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Gotis A,1095,2,1,60,2,Flat+
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Gotis A,1745,3,3,100,1,Flat++
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,MenueNo,1050,2,2,52.5,1,Flat++
Plot  Area,Ready To Move,4th T block Jayanagar,4 Bedroom,MenueNo,2080,4,2,440,2,Plot
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1220,2,1,44.6,2,Flat++
Super built-up  Area,Ready To Move,Kempegowda Nagar,3 BHK,Sonumy ,1793,3,2,98,1.5,Flat++
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Covelrs,1100,1,2,45,0.5,Flat++
Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,Covelrs,1385,2,3,65,0.67,Flat++
Super built-up  Area,Ready To Move,Begur Road,2 BHK,NDionas,1200,2,2,45,1,Flat++
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NDionas,2017,2,2,125,1,Flat++
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,400,1,1,10,1,Flat++
Super built-up  Area,18-Apr,Bellandur,3 BHK,Saaveir,1400,2,2,44.81,1,Flat++
Super built-up  Area,Ready To Move,Bethel Nagar,2 BHK,Saaveir,960,2,1,33,2,Flat++
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Aklia R,1125,2,1,47,2,Flat++
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,Javasi ,1551,2,2,60,1,Flat++
Plot  Area,Ready To Move,BTM Layout,4 Bedroom,SrncyRe,600,4,2,122,2,Plot
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,SrncyRe,1246,2,1,67.4,2,Flat++
Built-up  Area,18-Apr,Whitefield,4 BHK,SrncyRe,3200,4,3,224,1.33,Flat+
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,SrncyRe,1060,2,1,48,2,Flat++
Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,ReudePr,1384,2,2,59,1,Flat++
Super built-up  Area,Ready To Move,Byagadadhenahalli,2 BHK,VBavaai,620,2,1,23,2,Flat++
Super built-up  Area,18-Jun,Bommasandra,2 BHK,SSestth,1005,2,1,39.77,2,Flat++
Plot  Area,Ready To Move,Sarakki Nagar,3 Bedroom,SrisePo,1200,3,2,128,1.5,Plot
Built-up  Area,Ready To Move,Kirloskar Layout,3 BHK,SrisePo,1400,3,2,35,1.5,Flat+
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,SrisePo,2400,3,3,88,1,Flat++
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Rabow R,1096,2,1,39,2,Flat++
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Vacesi ,1180,1,0,50,inf,Flat++
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Vacesi ,1300,2,1,47,2,Flat++
Plot  Area,18-Apr,tc.palya,2 Bedroom,Vacesi ,1020,2,1,62,2,Plot
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,Vacesi ,600,2,0,35,inf,Plot
Super built-up  Area,Ready To Move,Dollar Scheme Colony,4 BHK,Vacesi ,3563,6,1,310,6,Flat++
Super built-up  Area,Ready To Move,Konanakunte Cross,2 BHK,NiCodCa,1165,2,2,47,1,Flat++
Super built-up  Area,18-Mar,Bellandur,3 BHK,NiCodCa,1685,3,3,100,1,Flat++
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1580,3,3,53.56,1,Flat++
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1210,2,1,83,2,Flat++
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,DSOakil,1030,1,2,25.75,0.5,Flat++
Built-up  Area,Ready To Move,Nagappa Reddy Layout,2 BHK,Magiaya,1100,2,2,43.5,1,Flat+
Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1255,3,2,77.68,1.5,Flat++
Super built-up  Area,20-Dec,Jakkur,3 BHK,ArndsSk,1482,3,2,86,1.5,Flat++
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1344,2,1,108,2,Flat++
Super built-up  Area,18-Jun,Kothannur,3 BHK,SNtua S,1275,2,2,39.8,1,Flat++
Plot  Area,Ready To Move,Vidyaranyapura,3 Bedroom,SNtua S,462,3,3,38,1,Plot
Super built-up  Area,Ready To Move,Omarbagh Layout,4 BHK,SNtua S,3300,5,3,318,1.67,Flat++
Super built-up  Area,Ready To Move,Panathur,2 BHK,Raard B,1210,2,2,85,1,Flat++
Super built-up  Area,19-Jun,Hebbal,3 BHK,Raard B,1320,3,3,226,1,Flat++
Super built-up  Area,19-Mar,Hosa Road,3 BHK,Skume R,1532,3,2,98.13,1.5,Flat++
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,Maerar ,1245,2,2,110,1,Flat++
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,MaentNa,1212,2,1,50,2,Flat++
Super built-up  Area,18-Oct,Sarjapur  Road,2 BHK,DNeremo,1230,2,1,65,2,Flat++
Plot  Area,Ready To Move,Indira Nagar,5 Bedroom,DNeremo,1000,5,2,180,2.5,Plot
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,2257,3,2,159,1.5,Flat++
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Akncyes,1246,2,1,65.4,2,Flat++
Super built-up  Area,Ready To Move,Gunjur,2 BHK,Akncyes,1080,2,2,41,1,Flat++
Plot  Area,Ready To Move,Kannur,6 Bedroom,Vaensia,3Cents,6,3,75,2,Plot
Super built-up  Area,Ready To Move,Varthur,3 BHK,Vaensia,1360,2,3,85,0.67,Flat++
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,Prtanha,1260,2,2,47.88,1,Flat++
Built-up  Area,Ready To Move,Kengeri Satellite Town,4 Bedroom,Prtanha,1200,3,0,110,inf,Flat+
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418,2,2,104,1,Flat++
Plot  Area,Ready To Move,anjananager magdi road,3 Bedroom,Sryalan,1200,3,1,165,3,Plot
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Sryalan,950,2,1,39,2,Flat++
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,Sryalan,1020,2,2,55,1,Flat++
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,Sryalan,1400,2,2,40.44,1,Flat++
Plot  Area,Ready To Move,Kodipalya,4 Bedroom,MCnexva,1440,4,0,88,inf,Plot
Built-up  Area,Ready To Move,Huskur,6 BHK,MCnexva,800,6,2,75,3,Flat+
Super built-up  Area,18-Sep,KR Puram,3 BHK,MCnexva,1310 - 1615,2,1,62.81,2,Flat++
Super built-up  Area,18-May,Electronics City Phase 1,2 BHK,Shitt S,1175,2,1,69,2,Flat++
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1185,2,1,40.17,2,Flat++
Super built-up  Area,Ready To Move,Aishwarya Crystal Layout,3 BHK,GRvasth,2250,3,1,113,3,Flat++
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,S2kaaan,1178,2,2,40.43,1,Flat++
Super built-up  Area,Ready To Move,Ulsoor,4 BHK,Roale D,36000,4,2,450,2,Flat++
Super built-up  Area,Ready To Move,Whitefield,1 BHK,UKe 2nz,825,1,1,44.9,1,Flat++
Super built-up  Area,18-May,Madiwala,3 BHK,Courf T,1250,3,2,43,1.5,Flat++
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Courf T,1113.12,2,2,55,1,Flat++
Super built-up  Area,Ready To Move,2nd Block Jayanagar,3 BHK,SaignSo,1718,3,3,223,1,Flat++
Super built-up  Area,Ready To Move,Gottigere,2 BHK,Srncyla,1010,2,1,35,2,Flat++
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,900,2,1,41,2,Flat++
Plot  Area,Ready To Move,Syndicate Bank Colony,4 Bedroom,PuendWe,1500,4,3,240,1.33,Plot
Plot  Area,Ready To Move,Rayasandra,1 Bedroom,PuendWe,540,1,1,16.5,1,Plot
Super built-up  Area,18-May,Electronic City,2 BHK,PuendWe,1020,2,2,29.46,1,Flat++
Super built-up  Area,18-Jun,Hosur Road,2 BHK,PuendWe,1194,2,1,71.64,2,Flat++
Plot  Area,Ready To Move,Vijayanagar,8 Bedroom,Prarkun,1470,6,2,300,3,Plot
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,3 Bedroom,Prarkun,600,4,2,100,2,Plot
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1108,2,1,67.15,2,Flat++
Built-up  Area,Ready To Move,Hebbal,4 BHK,RMudeat,3895,2,1,451,2,Flat+
Super built-up  Area,21-Jan,Kanakpura Road,2 BHK,PrarePa,700,2,1,34.99,2,Flat++
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,LIandee,1600,3,3,68,1,Flat++
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,LIandee,1850,3,2,90,1.5,Flat++
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,LIandee,1250,2,2,33,1,Flat++
Built-up  Area,Ready To Move,Ramamurthy Nagar,1 Bedroom,GrrvaGr,600,1,1,43,1,Flat+
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1140,2,1,49.27,2,Flat++
Super built-up  Area,Ready To Move,CQAL Layout,3 BHK,Rarelt ,1200,2,2,75,1,Flat++
Super built-up  Area,Ready To Move,Nayandanahalli,2 BHK,Rarelt ,985,2,1,55,2,Flat++
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Sronda ,982,2,2,55,1,Flat++
Built-up  Area,Ready To Move,9th Phase JP Nagar,1 BHK,NaensGa,600,1,0,20,inf,Flat+
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,2640,5,1,142,5,Flat++
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,DLhtsnd,1314,2,2,68.8,1,Flat++
Super built-up  Area,Ready To Move,Vijaya Bank Layout,3 BHK,Inntsth,1700,2,2,68.5,1,Flat++
Super built-up  Area,18-May,1st Phase JP Nagar,2 BHK,Inntsth,1077,2,2,93,1,Flat++
Built-up  Area,Ready To Move,Chandapura,4 Bedroom,MRowsea,1782 - 2000,4,1,66.165,4,Flat+
Super built-up  Area,Ready To Move,Varanasi,5 BHK,Viockit,2000,4,1,99,4,Flat++
Super built-up  Area,Ready To Move,DUO Layout,3 BHK,Viockit,1643,3,2,75,1.5,Flat++
Plot  Area,Ready To Move,Kengeri,3 Bedroom,Sonviik,1200,3,1,67,3,Plot
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2,1,51.91,2,Flat++
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,1020,2,1,41.82,2,Flat++
Built-up  Area,Ready To Move,Vittasandra,7 Bedroom,InockHo,621,7,2,64,3.5,Flat+
Built-up  Area,Ready To Move,Daadys Gaarden Layout,3 BHK,InockHo,1740,3,2,55,1.5,Flat+
Super built-up  Area,18-May,GM Palaya,2 BHK,Pronyt ,1225,2,2,47,1,Flat++
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Pronyt ,1241,2,1,61,2,Flat+
Super built-up  Area,Ready To Move,Hennur,2 BHK,MDncyhi,1041,2,2,40.6,1,Flat++
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Jaw 2 L,1050,2,2,46,1,Flat++
Super built-up  Area,18-Mar,Srinivas Colony,3 BHK,GolusLi,4400,3,1,901,3,Flat++
Super built-up  Area,21-May,Kanakpura Road,2 BHK,GolusLi,1309,2,3,64.39,0.67,Flat++
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,7 ise P,1128,2,2,45,1,Flat++
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,7 ise P,1430,2,1,50,2,Flat++
Super built-up  Area,19-Dec,Old Madras Road,2 BHK,SheldGr,1065,2,1,47.86,2,Flat++
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,Rosha I,1085,2,1,64,2,Flat++
Plot  Area,Ready To Move,Vishveshwarya Layout,1 Bedroom,Rosha I,750,1,1,30,1,Plot
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Rosha I,981,2,2,37.28,1,Flat++
Carpet  Area,18-Dec,Bhoganhalli,4 BHK,Rosha I,1548.3,4,1,129,4,Flat
Super built-up  Area,Ready To Move,Hebbal Kempapura,4 BHK,Goateds,2302,4,2,300,2,Flat++
Built-up  Area,Ready To Move,Kalyan nagar,3 BHK,Sosisic,1410,2,2,60,1,Flat+
Super built-up  Area,19-Mar,Hosa Road,3 BHK,Sosisic,1525.84,3,1,117,3,Flat++
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2,2,42.6,1,Flat++
Built-up  Area,Ready To Move,Sampangi Rama Nagar,2 BHK,Coise P,1030,2,2,80,1,Flat+
Super built-up  Area,Ready To Move,BTM 1st Stage,3 BHK,Coise P,1852,2,1,95,2,Flat++
Built-up  Area,18-Dec,Electronic City,2 BHK,DLhtsan,1160,2,1,33.5,2,Flat+
Built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918,2,1,49,2,Flat+
Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1255,2,1,90,2,Flat++
Plot  Area,Ready To Move,HRBR Layout,6 Bedroom,Iseenst,1200,6,3,250,2,Plot
Built-up  Area,Ready To Move,JP Nagar,3 BHK,Iseenst,1150,2,2,49.9,1,Flat+
Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,Iseenst,2700,3,2,324,1.5,Flat++
Built-up  Area,18-Mar,Moodalapalya,2 BHK,Iseenst,1150,2,2,69,1,Flat+
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Iseenst,1227,2,2,53.49,1,Flat++
Super built-up  Area,18-Dec,Hebbal,3 BHK,Magiaya,1255,3,2,77.68,1.5,Flat++
Plot  Area,Ready To Move,Moodalapalya,6 Bedroom,Prcesvy,840,8,0,120,inf,Plot
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1198,2,1,82,2,Flat++
Plot  Area,Ready To Move, Devarachikkanahalli,3 Bedroom,CaaveEn,1200,3,1,160,3,Plot
Built-up  Area,Ready To Move,Frazer Town,3 BHK,CaaveEn,188.89Sq. Yards,3,1,180,3,Flat+
Built-up  Area,Ready To Move,Nelamangala,4 Bedroom,V2gesre,2600,3,1,95,3,Flat+
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4,2,139,2,Flat++
Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,Shvarji,797,2,1,32,2,Flat++
Built-up  Area,Ready To Move,Nayandanahalli,3 BHK,Rarelt ,1350,2,3,68,0.67,Flat+
Built-up  Area,Ready To Move,Sahakara Nagar,4 BHK,EsniaGa,2500,4,2,200,2,Flat+
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2215,4,2,160,2,Flat++
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1,1,30,1,Flat++
Super built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,SVoutow,2700,4,3,260,1.33,Flat++
Super built-up  Area,Ready To Move,Gokaula Extension,3 BHK,SVoutow,1500,2,1,90,2,Flat++
Plot  Area,Ready To Move,Subash Nagar,2 Bedroom,SVoutow,900,2,0,55,inf,Plot
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,SVoutow,1355,2,3,58.27,0.67,Flat++
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,SVoutow,1465,2,2,49.81,1,Flat++
Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,SVoutow,1006,2,1,57,2,Plot
Built-up  Area,Ready To Move,Vishveshwarya Layout,4 BHK,Prarkun,2000,4,1,75,4,Flat+
Super built-up  Area,18-Aug,Electronic City,2 BHK,Prarkun,1128,2,1,65.7,2,Flat++
Built-up  Area,Ready To Move,Pattanagere,2 BHK,Shhin S,850,2,0,35,inf,Flat+
Super built-up  Area,Ready To Move,ISRO Layout,3 BHK,Shhin S,1310,2,3,68,0.67,Flat++
Super built-up  Area,Ready To Move,Banashankari,2 BHK,Bregae ,1390,2,2,86,1,Flat++
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Cearuy ,1390,2,2,76.45,1,Flat++
Plot  Area,Ready To Move,Marathahalli,4 Bedroom,Cearuy ,2396,4,2,325,2,Plot
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Cearuy ,1170,2,1,33,2,Flat++
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Apentir,1385,2,2,50,1,Flat++
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Sryalan,1160,2,1,42,2,Flat++
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,1160,2,1,33.5,2,Flat++
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1200,2,2,69,1,Flat++
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,3Codeli,1475,2,2,55,1,Flat++
Built-up  Area,20-Jul,Sarjapur  Road,3 Bedroom,NVdenic,1939,3,0,98,inf,Flat+
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Prhna S,850,2,2,42,1,Flat+
Built-up  Area,17-May,Balagere,1 BHK,Soresea,675,1,1,45,1,Flat+
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2,1,51,2,Flat+
Super built-up  Area,18-Jun,Whitefield,2 BHK,SSdhimr,1235,2,2,47,1,Flat++
Plot  Area,18-May,RTO ullalu,2 Bedroom,Ajacea ,600,4,1,110,4,Plot
Super built-up  Area,Ready To Move,Austin Town,2 BHK,Ajacea ,1250,2,1,60,2,Flat++
Super built-up  Area,Ready To Move,Banashankari,2 BHK,Ajacea ,1460,2,3,70,0.67,Flat++
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1690,3,2,85,1.5,Flat++
Built-up  Area,Ready To Move,Indira Nagar,1 BHK,GoilsDa,850,1,2,57,0.5,Flat+
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1843,3,2,82,1.5,Flat++
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680,3,2,117,1.5,Flat+
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,1047,2,1,84,2,Flat++
Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,Shmai D,1100,2,2,35,1,Flat++
Plot  Area,Ready To Move,Indira Nagar,8 Bedroom,Shmai D,3250,8,1,600,8,Plot
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,Shmai D,1120,2,3,53,0.67,Flat++
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Shmai D,1095,2,2,38.33,1,Flat++
Super built-up  Area,19-Oct,Carmelaram,2 BHK,Duavenc,970,2,2,35,1,Flat++
Plot  Area,Ready To Move,Bommanahalli,5 Bedroom,Duavenc,1200,7,2,125,3.5,Plot
Built-up  Area,Ready To Move,Hosa Road,3 BHK,Saowsou,1100,2,3,85,0.67,Flat+
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Baveles,1685,3,2,85,1.5,Flat++
Built-up  Area,Ready To Move,Doddanekundi,2 BHK,Palanla,1148,2,1,59,2,Flat+
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Palanla,1050,2,1,65,2,Flat+
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1465,2,1,76,2,Flat++
Plot  Area,Ready To Move,Kothanur,4 Bedroom,Fencyes,3401,5,1,230,5,Plot
Built-up  Area,17-Dec,Electronic City,1 BHK,Prarkun,630,1,1,60,1,Flat+
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3,1,150,3,Flat++
Plot  Area,Ready To Move,Vidyaranyapura,9 Bedroom,Maenara,1200,9,1,175,9,Plot
Built-up  Area,Ready To Move,Cottonpet,4 Bedroom,Maenara,1750,2,1,225,2,Flat+
